"finyear","lgdstatecode","statename","lgddistrictcode","districtname","schemecode","totalbeneficiaries","totalmale","totalfemale","totaltransgender","totalsc","totalst","totalgen","totalobc","totalaadhaar","totalmpbilenumber"
"2025-2026","1","JAMMU AND KASHMIR","2","BADGAM","IGNOAPS",11615,6102,5513,0,253,71,11070,221,11604,9007
"2025-2026","1","JAMMU AND KASHMIR","2","BADGAM","IGNWPS",255,0,255,0,2,1,250,2,255,204
"2025-2026","1","JAMMU AND KASHMIR","3","BARAMULLA","IGNDPS",151,107,44,0,0,0,151,0,147,39
"2025-2026","1","JAMMU AND KASHMIR","3","BARAMULLA","IGNOAPS",8005,4743,3261,1,111,85,7695,114,7958,5459
"2025-2026","1","JAMMU AND KASHMIR","3","BARAMULLA","IGNWPS",690,0,690,0,1,0,689,0,688,163
"2025-2026","1","JAMMU AND KASHMIR","4","DODA","IGNDPS",223,126,97,0,18,12,193,0,223,132
"2025-2026","1","JAMMU AND KASHMIR","4","DODA","IGNOAPS",8424,5013,3411,0,521,357,7441,105,8350,5000
"2025-2026","1","JAMMU AND KASHMIR","4","DODA","IGNWPS",268,0,268,0,9,17,242,0,266,173
"2025-2026","1","JAMMU AND KASHMIR","5","JAMMU","IGNDPS",51,35,16,0,3,1,46,1,47,21
"2025-2026","1","JAMMU AND KASHMIR","5","JAMMU","IGNOAPS",12527,6942,5585,0,1572,90,10804,61,12328,6778
"2025-2026","1","JAMMU AND KASHMIR","5","JAMMU","IGNWPS",570,0,570,0,97,3,443,27,568,150
"2025-2026","1","JAMMU AND KASHMIR","620","KISHTWAR","IGNDPS",105,81,24,0,0,0,105,0,102,85
"2025-2026","1","JAMMU AND KASHMIR","620","KISHTWAR","IGNOAPS",4596,2990,1606,0,6,175,4353,62,4513,4058
"2025-2026","1","JAMMU AND KASHMIR","620","KISHTWAR","IGNWPS",235,0,235,0,0,0,235,0,230,200
"2025-2026","1","JAMMU AND KASHMIR","621","RAMBAN","IGNDPS",173,86,87,0,3,5,163,2,152,96
"2025-2026","1","JAMMU AND KASHMIR","621","RAMBAN","IGNOAPS",2398,1712,686,0,40,99,2259,0,2173,1979
"2025-2026","1","JAMMU AND KASHMIR","621","RAMBAN","IGNWPS",236,0,236,0,1,1,234,0,196,65
"2025-2026","1","JAMMU AND KASHMIR","622","KULGAM","IGNDPS",111,65,46,0,3,6,101,1,111,103
"2025-2026","1","JAMMU AND KASHMIR","622","KULGAM","IGNOAPS",4354,2423,1931,0,47,49,3967,291,4352,4220
"2025-2026","1","JAMMU AND KASHMIR","622","KULGAM","IGNWPS",385,0,385,0,20,0,352,13,385,363
"2025-2026","1","JAMMU AND KASHMIR","623","BANDIPORA","IGNDPS",117,71,46,0,1,16,100,0,117,47
"2025-2026","1","JAMMU AND KASHMIR","623","BANDIPORA","IGNOAPS",4639,2951,1687,1,5,629,3961,44,4639,2059
"2025-2026","1","JAMMU AND KASHMIR","623","BANDIPORA","IGNWPS",478,0,478,0,0,54,423,1,478,135
"2025-2026","1","JAMMU AND KASHMIR","624","SAMBA","IGNDPS",58,32,26,0,8,6,43,1,58,37
"2025-2026","1","JAMMU AND KASHMIR","624","SAMBA","IGNOAPS",3433,1625,1808,0,1102,84,2124,123,3417,3155
"2025-2026","1","JAMMU AND KASHMIR","624","SAMBA","IGNWPS",121,0,121,0,12,2,106,1,120,43
"2025-2026","1","JAMMU AND KASHMIR","625","SHOPIAN","IGNDPS",101,56,45,0,0,7,94,0,101,79
"2025-2026","1","JAMMU AND KASHMIR","625","SHOPIAN","IGNOAPS",1575,1032,543,0,0,186,1389,0,1575,1239
"2025-2026","1","JAMMU AND KASHMIR","625","SHOPIAN","IGNWPS",456,0,456,0,0,45,411,0,456,325
"2025-2026","1","JAMMU AND KASHMIR","626","GANDERWAL","IGNDPS",110,60,50,0,0,14,68,28,110,100
"2025-2026","1","JAMMU AND KASHMIR","626","GANDERWAL","IGNOAPS",4642,2664,1978,0,0,876,2279,1487,4641,4324
"2025-2026","1","JAMMU AND KASHMIR","626","GANDERWAL","IGNWPS",176,0,176,0,1,44,79,52,176,167
"2025-2026","1","JAMMU AND KASHMIR","627","REASI","IGNDPS",28,16,12,0,1,11,16,0,28,28
"2025-2026","1","JAMMU AND KASHMIR","627","REASI","IGNOAPS",5261,2937,2324,0,60,3115,2068,18,5078,144
"2025-2026","1","JAMMU AND KASHMIR","627","REASI","IGNWPS",97,0,97,0,1,36,59,1,97,96
"2025-2026","1","JAMMU AND KASHMIR","7","KATHUA","IGNDPS",146,96,50,0,50,14,82,0,145,7
"2025-2026","1","JAMMU AND KASHMIR","7","KATHUA","IGNOAPS",5131,2618,2513,0,1364,177,3136,454,5037,184
"2025-2026","1","JAMMU AND KASHMIR","7","KATHUA","IGNWPS",523,0,523,0,210,26,284,3,509,4
"2025-2026","1","JAMMU AND KASHMIR","8","KUPWARA","IGNDPS",136,71,65,0,1,0,91,44,136,120
"2025-2026","1","JAMMU AND KASHMIR","8","KUPWARA","IGNOAPS",9585,5486,4098,1,61,672,5591,3261,9585,8365
"2025-2026","1","JAMMU AND KASHMIR","8","KUPWARA","IGNWPS",490,0,490,0,4,10,271,205,490,450
"2025-2026","10","BIHAR","188","ARARIA","IGNDPS",1263,700,563,0,140,9,1030,84,979,872
"2025-2026","10","BIHAR","188","ARARIA","IGNOAPS",110634,58721,51902,11,12180,333,96745,1376,87902,77636
"2025-2026","10","BIHAR","188","ARARIA","IGNWPS",24822,0,24822,0,3283,135,20275,1129,18998,17268
"2025-2026","10","BIHAR","189","AURANAGABAD","IGNDPS",2033,1329,703,1,578,13,1360,82,1604,1524
"2025-2026","10","BIHAR","189","AURANAGABAD","IGNOAPS",66486,31903,34539,44,21599,630,43590,667,52324,50309
"2025-2026","10","BIHAR","189","AURANAGABAD","IGNWPS",7134,0,7134,0,2132,81,4433,488,5573,5602
"2025-2026","10","BIHAR","190","BANKA","IGNDPS",1990,1148,842,0,213,61,1500,216,1630,1471
"2025-2026","10","BIHAR","190","BANKA","IGNOAPS",63718,29352,34358,8,8199,1220,50483,3816,54900,53394
"2025-2026","10","BIHAR","190","BANKA","IGNWPS",11415,0,11415,0,2053,436,7390,1536,9472,9521
"2025-2026","10","BIHAR","191","BEGUSARAI","IGNDPS",3765,2146,1619,0,713,22,2554,476,3212,2817
"2025-2026","10","BIHAR","191","BEGUSARAI","IGNOAPS",96466,43846,52612,8,19367,654,56403,20042,86692,79898
"2025-2026","10","BIHAR","191","BEGUSARAI","IGNWPS",17082,0,17082,0,3313,92,9781,3896,15096,13806
"2025-2026","10","BIHAR","192","BHAGALPUR","IGNDPS",2874,1698,1175,1,350,62,2324,138,2329,2252
"2025-2026","10","BIHAR","192","BHAGALPUR","IGNOAPS",125795,61196,64589,10,15201,1087,107472,2035,104489,101851
"2025-2026","10","BIHAR","192","BHAGALPUR","IGNWPS",15318,0,15318,0,1879,255,12372,812,12202,12203
"2025-2026","10","BIHAR","193","BHOJPUR","IGNDPS",2813,1868,943,2,458,11,1732,612,2218,2234
"2025-2026","10","BIHAR","193","BHOJPUR","IGNOAPS",96521,51518,44978,25,20679,1210,44200,30432,74579,75108
"2025-2026","10","BIHAR","193","BHOJPUR","IGNWPS",10092,0,10092,0,2050,126,4385,3531,7485,7795
"2025-2026","10","BIHAR","194","BUXAR","IGNDPS",1686,1015,671,0,354,37,1220,75,1369,1311
"2025-2026","10","BIHAR","194","BUXAR","IGNOAPS",66681,31888,34765,28,14325,1132,49368,1856,59736,59425
"2025-2026","10","BIHAR","194","BUXAR","IGNWPS",7176,0,7176,0,1312,117,5240,507,5885,5935
"2025-2026","10","BIHAR","195","DARBHANGA","IGNDPS",4397,2543,1853,1,555,21,3153,668,3103,3311
"2025-2026","10","BIHAR","195","DARBHANGA","IGNOAPS",150531,75932,74585,14,21839,500,103212,24980,116574,126054
"2025-2026","10","BIHAR","195","DARBHANGA","IGNWPS",36983,0,36983,0,5874,132,23775,7202,27694,29558
"2025-2026","10","BIHAR","196","GAYA","IGNDPS",1665,1055,610,0,407,31,1142,85,1375,1221
"2025-2026","10","BIHAR","196","GAYA","IGNOAPS",148983,67048,81899,36,61247,912,82891,3933,127281,109901
"2025-2026","10","BIHAR","196","GAYA","IGNWPS",15236,0,15236,0,6590,87,7644,915,12838,11618
"2025-2026","10","BIHAR","197","GOPALGANJ","IGNDPS",3448,2115,1333,0,651,161,1533,1103,2402,2765
"2025-2026","10","BIHAR","197","GOPALGANJ","IGNOAPS",63573,30639,32921,13,12700,2764,25578,22531,47535,55428
"2025-2026","10","BIHAR","197","GOPALGANJ","IGNWPS",20279,0,20279,0,3681,733,7924,7941,14484,16971
"2025-2026","10","BIHAR","198","JAMUI","IGNDPS",1599,953,481,165,385,86,323,805,1234,1217
"2025-2026","10","BIHAR","198","JAMUI","IGNOAPS",57172,26946,30208,18,10492,3642,11990,31048,47562,46771
"2025-2026","10","BIHAR","198","JAMUI","IGNWPS",8281,0,8281,0,1714,540,1854,4173,6998,6754
"2025-2026","10","BIHAR","199","JEHANABAD","IGNDPS",378,221,157,0,62,15,223,78,259,225
"2025-2026","10","BIHAR","199","JEHANABAD","IGNOAPS",34720,15056,19664,0,4330,1810,10949,17631,30661,26698
"2025-2026","10","BIHAR","199","JEHANABAD","IGNWPS",5200,0,5200,0,837,295,1924,2144,4320,3781
"2025-2026","10","BIHAR","200","KAIMUR (BHABUA)","IGNDPS",1624,991,633,0,349,65,965,245,1306,1339
"2025-2026","10","BIHAR","200","KAIMUR (BHABUA)","IGNOAPS",60169,29233,30934,2,14603,2258,31592,11716,47960,50931
"2025-2026","10","BIHAR","200","KAIMUR (BHABUA)","IGNWPS",7976,0,7976,0,1575,269,4779,1353,6277,6953
"2025-2026","10","BIHAR","201","KATIHAR","IGNDPS",2102,1275,825,2,111,22,1817,152,1639,1629
